TrafficAdmin	TrafficUnit	DriverLicenseNumber	DriverLicenseTypeId	DriverName	Nationality	Address	OperationStart	DriverMobile	DriverPhoto	LicenseExpireDate	LicenseIssueDate
الغربية	طنطا	124	ثالثة 	 يوسف عبد الله محمود          	مصري	الغربية,  طنطا -86 طريق مدينة الأقصر		86 طريق مدينة الأقصر	5	1/5/1900 12:00:00 AM	7/18/1905 12:00:00 AM
الدقهلية	المنصورة	125	ثالثة 	 يوسف محمود حسام         	مصري	الدقهلية,  المنصورة -57 شارع أهرام الجيزة		57 شارع أهرام الجيزة	20	1/11/1900 12:00:00 AM	7/17/1905 12:00:00 AM
الدقهلية	المنصورة	126	أولى	 يوسف محمود عبد العزيز        	مصري	الدقهلية,  المنصورة -67 شارع بورسعيد		67 شارع بورسعيد	6	1/3/1900 12:00:00 AM	7/18/1905 12:00:00 AM
الغربية	طنطا	127	ثالثة 	 يوسف محمود عبد الله          	مصري	الغربية,  طنطا -16 شارع طه حسين		16 شارع طه حسين	6	1/3/1900 12:00:00 AM	7/18/1905 12:00:00 AM
الغربية	طنطا	128	ثالثة 	أحمد  عبد الرحمن علي	مصري	الغربية,  طنطا -21 شارع الامام علي		21 شارع الامام علي	27	1/4/1900 12:00:00 AM	7/16/1905 12:00:00 AM
الدقهلية	المنصورة	129	ثالثة 	أيمن  خالد علي	مصري	الدقهلية,  المنصورة -34 شارع حسام أبو باسم		34 شارع حسام أبو باسم	3	1/10/1900 12:00:00 AM	7/16/1905 12:00:00 AM
أسيوط	الوصية	130	ثالثة 	باسم  حاتم زايد	مصري	أسيوط,  الوصية -52 شارع المدينة المنورة		52 شارع المدينة المنورة	16	1/10/1900 12:00:00 AM	7/18/1905 12:00:00 AM
أسيوط	الوصية	131	ثانية	باسم  خالد عمر	مصري	أسيوط,  الوصية -18 شارع عرفة		18 شارع عرفة	1	1/10/1900 12:00:00 AM	7/17/1905 12:00:00 AM
سوهاج	سوهاج	132	أولى	باسم  فارس يوسف	مصري	سوهاج,  سوهاج -36 شارع نصر عبد الوهاب		36 شارع نصر عبد الوهاب	15	1/2/1900 12:00:00 AM	7/16/1905 12:00:00 AM
الشرقية	الزقازيق	133	ثالثة 	جاسم  محمد خالد	مصري	الشرقية,  الزقازيق -81 شارع صائم الدهر		81 شارع صائم الدهر	25	1/4/1900 12:00:00 AM	7/16/1905 12:00:00 AM
الشرقية	الزقازيق	134	ثانية	خالد  علي محمد	مصري	الشرقية,  الزقازيق -50 شارع المعمل		50 شارع المعمل	14	1/8/1900 12:00:00 AM	7/16/1905 12:00:00 AM
الشرقية	الزقازيق	135	أولى	راشد  محمد خالد	مصري	الشرقية,  الزقازيق -29 شارع حسن أبو زيد		29 شارع حسن أبو زيد	19	1/8/1900 12:00:00 AM	7/16/1905 12:00:00 AM
أسيوط	الوصية	136	أولى	زياد  فارس خالد	مصري	أسيوط,  الوصية -56 شارع التروللي		56 شارع التروللي	3	1/5/1900 12:00:00 AM	7/17/1905 12:00:00 AM
أسيوط	الوصية	137	ثالثة 	سامي  وليد أحمد	مصري	أسيوط,  الوصية -4 مساكن اسكو		4 مساكن اسكو	18	1/10/1900 12:00:00 AM	7/18/1905 12:00:00 AM
الدقهلية	المنصورة	138	ثانية	سلطان  فهد سعود	مصري	الدقهلية,  المنصورة -30 شارع الحبيب علي		30 شارع الحبيب علي	25	1/12/1900 12:00:00 AM	7/16/1905 12:00:00 AM
المنيا	المنيا	139	أولى	عامر  خالد فهد	مصري	المنيا,  المنيا -90 شارع حنفي العربي		90 شارع حنفي العربي	4	1/11/1900 12:00:00 AM	7/16/1905 12:00:00 AM
الشرقية	الزقازيق	140	ثالثة 	عبدالله  فارس حكم	مصري	الشرقية,  الزقازيق -77 شارع الصفا و المروة		77 شارع الصفا و المروة	18	1/1/1900 12:00:00 AM	7/17/1905 12:00:00 AM
سوهاج	سوهاج	141	ثالثة 	عمر  خالد حمد	مصري	سوهاج,  سوهاج -85 شارع مكة		85 شارع مكة	4	1/10/1900 12:00:00 AM	7/18/1905 12:00:00 AM
جنوب سيناء 	الطور	142	ثالثة 	عمر  فارس حكم	مصري	جنوب سيناء ,  الطور -12 شارع مسرة		12 شارع مسرة	16	1/2/1900 12:00:00 AM	7/16/1905 12:00:00 AM
الدقهلية	المنصورة	143	أولى	فهد  سعود عبد الله	مصري	الدقهلية,  المنصورة -23 شارع السواح		23 شارع السواح	22	1/1/1900 12:00:00 AM	7/17/1905 12:00:00 AM
المنيا	المنيا	144	ثالثة 	فهيم  ياسر سفيان	مصري	المنيا,  المنيا -39 شارع خالد محمد		39 شارع خالد محمد	6	1/10/1900 12:00:00 AM	7/16/1905 12:00:00 AM
جنوب سيناء 	الطور	145	أولى	فهيم  ياسر سينا	مصري	جنوب سيناء ,  الطور -32 شارع مختار اباظة		32 شارع مختار اباظة	4	1/11/1900 12:00:00 AM	7/16/1905 12:00:00 AM
الغربية	طنطا	146	ثانية	فوزي  عبد الرحمن علي	مصري	الغربية,  طنطا -6 شارع المدرسة		6 شارع المدرسة	18	1/11/1900 12:00:00 AM	7/18/1905 12:00:00 AM
الدقهلية	المنصورة	147	ثانية	فؤاد  خالد سفيان	مصري	الدقهلية,  المنصورة -46 شارع الثلاجات		46 شارع الثلاجات	25	1/3/1900 12:00:00 AM	7/18/1905 12:00:00 AM
الغربية	طنطا	148	أولى	محمد  بشار يوسف	مصري	الغربية,  طنطا -86 شارع الأمير		86 شارع الأمير	10	1/12/1900 12:00:00 AM	7/17/1905 12:00:00 AM
الغربية	طنطا	149	ثانية	محمد  فارس عمر	مصري	الغربية,  طنطا -95 شارع حسان بن ثابت		95 شارع حسان بن ثابت	15	1/8/1900 12:00:00 AM	7/16/1905 12:00:00 AM
سوهاج	سوهاج	150	ثانية	مروان  وليد فهد	مصري	سوهاج,  سوهاج -3 شارع فتوح		3 شارع فتوح	14	1/9/1900 12:00:00 AM	7/16/1905 12:00:00 AM
جنوب سيناء 	الطور	151	ثانية	ناصر  خالد علي	مصري	جنوب سيناء ,  الطور -79 شارع الشيخ مصطفي		79 شارع الشيخ مصطفي	0	1/10/1900 12:00:00 AM	7/16/1905 12:00:00 AM
جنوب سيناء 	الطور	152	أولى	هشام  خالد فهد	مصري	جنوب سيناء ,  الطور -68 شارع الورشة		68 شارع الورشة	16	1/10/1900 12:00:00 AM	7/16/1905 12:00:00 AM
المنيا	المنيا	153	ثانية	وليد  أيمن يوسف	مصري	المنيا,  المنيا -84 شارع الإخلاص		84 شارع الإخلاص	14	1/1/1900 12:00:00 AM	7/16/1905 12:00:00 AM
